,playerID,name
689,1246,Kostas Manolas
690,1438,Vasilis Torosidis
691,1251,Radja Nainggolan
692,1290,Miralem Pjanic
693,1249,Daniele De Rossi
694,1943,Gervinho
695,1253,Edin Dzeko
696,1250,Mohamed Salah
697,2011,Seydou Keita
698,1185,Iago Falque
699,1483,Etrit Berisha
700,1201,Dusan Basta
701,1541,Stefan de Vrij
702,1107,Santiago Gentiletti
703,1542,Stefan Radu
704,1205,Senad Lulic
705,1207,Marco Parolo
706,1589,Lucas Biglia
707,1517,Antonio Candreva
708,1210,Keita
709,1564,Ricardo Kishna
710,1206,Danilo Cataldi
711,1543,Sergej Milinkovic-Savic
712,1208,Felipe Anderson
713,1609,Antonio Mirante
714,1454,Alex Ferrari
715,1453,Marios Oikonomou
716,1180,Luca Rossettini
717,1441,Adam Masina
718,1902,Marco Crimi
719,1356,Lorenzo Crisetig
720,1913,Matteo Brighi
721,1611,Franco Brienza
722,1917,Robert Acquafresca
723,1981,Matteo Mancosu
724,1380,Amadou Diawara
725,1580,Mattia Destro
726,1285,Gianluigi Buffon
727,1576,Giorgio Chiellini
728,1286,Andrea Barzagli
729,1287,Leonardo Bonucci
730,1303,Stephan Lichtsteiner
731,1298,Patrice Evra
732,1403,Simone Padoin
733,226,Kingsley Coman
734,1295,Mario Mandzukic
735,1294,Paulo Dybala
736,1402,Mauricio Isla
737,1138,Orestis Karnezis
738,1149,Thomas Heurtaux
739,1887,Iván Piris
740,1140,Danilo
741,1097,Edenilson
742,1156,Ali Adnan
743,1228,Bruno Fernandes
744,1977,Manuel Iturra
745,1150,Emmanuel Badu
746,1147,Cyril Théréau
747,1888,Antonio Di Natale
748,1148,Duván Zapata
749,1561,Panagiotis Kone
750,1139,Silvan Widmer
751,1328,Stefano Sorrentino
752,1279,Roberto Vitiello
753,2047,Abdelhamid El Kaoutari
754,1534,Giancarlo Gonzalez
755,1274,Andrea Rispoli
756,1838,Achraf Lazaar
757,1101,Luca Rigoni
758,1271,Ivaylo Chochev
759,1273,Mato Jajalo
760,1275,Robin Quaison
761,1836,Franco Vázquez
762,1909,Fabio Daprelà
763,1837,Aleksandar Trajkovski
764,1284,Oscar Hiljemark
765,1113,Eugenio Lamanna
766,1431,Sebastien De Maio
767,1630,Giovanni Marchese
768,1094,Nicolas Burdisso
769,1633,Issa Cissokho
770,1885,Tino Costa
771,1123,Juraj Kucka
772,1100,Diego Laxalt
773,1111,Olivier Ntcham
774,1115,Goran Pandev
775,1106,Darko Lazovic
776,1401,Panagiotis Tachtsidis
777,2038,Giuseppe Panico
778,1924,Diego Capel
779,1532,Emiliano Viviano
780,1813,Mattia Cassani
781,1222,Matías Silvestre
782,1530,Andrea Coda
783,1224,Vasco Regini
784,1937,Fernando
785,1225,Edgar Barreto
786,1646,David Ivan
787,1810,Roberto Soriano
788,1514,Éder
789,1229,Luis Muriel
790,1939,Antonio Cassano
791,1845,Pawel Wszolek
792,1974,Zeljko Brkic
793,1972,Gaetano Letizia
794,2054,Igor Bubnjic
795,1342,Nicolás Spolli
796,1896,Riccardo Gagliolo
797,1153,Ryder Matos
798,1904,Filippo Porcari
799,1643,Luca Marrone
800,1920,Gabriel Silva
801,2027,Andrea Lazzari
802,1903,Kevin Lasagna
803,1905,Antonio Di Gaudio
804,2049,Kamil Wilczek
805,2055,Wallace Oliveira
806,1460,Andrea Consigli
807,1951,Sime Vrsaljko
808,1463,Francesco Acerbi
809,1462,Paolo Cannavaro
810,1464,Federico Peluso
811,1474,Alfred Duncan
812,1466,Francesco Magnanelli
813,1603,Simone Missiroli
814,1612,Domenico Berardi
815,1468,Gregoire Defrel
816,1338,Antonio Floro Flores
